Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,S&P-Price,S&P-Open,S&P-High,S&P-Low,NASDAQ-Price,NASDAQ-Open,NASDAQ-High,NASDAQ-Low,NASDAQ-Vol.,DOW-Price,DOW-Open,DOW-High,DOW-Low,DOW-Vol.,GOLD-Price,GOLD-Open,GOLD-High,GOLD-Low,OIL-Price,OIL-Open,OIL-High,OIL-Low
6/19/2019,9078.727539,9299.621094,9070.395508,9273.521484,9273.521484,15546809946,265.056854,270.333374,264.754791,269.431793,269.431793,5516510947,0.003123,0.003154,0.003097,0.00313,0.00313,35562598,"2,926.50","2,920.60","2,931.70","2,911.40","7,987.32","7,970.26","7,998.59","7,930.38",536800000,"26,504.00","26,490.16","26,569.75","26,415.05",240950000,"1,348.80","1,350.40","1,366.60","1,344.80",53.76,54.09,54.42,53.28
6/20/2019,9273.060547,9594.419922,9232.484375,9527.160156,9527.160156,17846823784,269.407867,274.073517,265.500458,271.695007,271.695007,6408981097,0.003143,0.003204,0.003095,0.003161,0.003161,36102126,"2,954.20","2,949.60","2,958.10","2,931.50","8,051.34","8,087.45","8,088.88","7,996.87",528690000,"26,753.17","26,665.38","26,798.63","26,539.69",278170000,"1,396.90","1,364.50","1,397.70","1,361.30",56.65,54.12,57.02,54.11
6/21/2019,9525.074219,10144.55664,9525.074219,10144.55664,10144.55664,20624008643,271.743103,295.303314,271.743103,294.910278,294.910278,9331694140,0.003167,0.003251,0.003128,0.003223,0.003223,42423841,"2,950.50","2,952.70","2,964.20","2,946.90","8,031.71","8,028.69","8,073.02","8,011.20",1200000000,"26,719.13","26,749.12","26,907.37","26,705.87",485560000,"1,400.10","1,391.20","1,415.40","1,386.10",57.43,57.26,57.98,56.66
6/22/2019,10175.92383,11157.3457,10107.03516,10701.69141,10701.69141,29995204861,295.115082,315.189728,294.728241,309.38031,309.38031,10613731255,0.003229,0.003354,0.003185,0.003279,0.003279,57373528,"2,950.50","2,952.70","2,964.20","2,946.90","8,031.71","8,028.69","8,073.02","8,011.20",1200000000,"26,719.13","26,749.12","26,907.37","26,705.87",485560000,"1,400.10","1,391.20","1,415.40","1,386.10",57.43,57.26,57.98,56.66
6/23/2019,10696.69141,11246.14453,10556.0957,10855.37109,10855.37109,20998326502,309.416687,318.565674,305.764587,307.827789,307.827789,8161062380,0.003285,0.003496,0.00325,0.003304,0.003304,44229340,"2,950.50","2,952.70","2,964.20","2,946.90","8,031.71","8,028.69","8,073.02","8,011.20",1200000000,"26,719.13","26,749.12","26,907.37","26,705.87",485560000,"1,400.10","1,391.20","1,415.40","1,386.10",57.43,57.26,57.98,56.66
6/24/2019,10853.74414,11065.89648,10610.42773,11011.10254,11011.10254,19271652365,307.722137,312.329346,299.55954,310.424683,310.424683,8205712062,0.003314,0.003431,0.003234,0.003368,0.003368,42747865,"2,945.30","2,951.40","2,954.90","2,944.10","8,005.70","8,040.58","8,047.56","8,004.63",528180000,"26,727.54","26,727.61","26,806.52","26,723.37",232390000,"1,418.20","1,403.90","1,425.10","1,403.60",57.9,57.72,58.22,56.75
6/25/2019,11007.20215,11790.91699,11007.20215,11790.91699,11790.91699,24879684533,310.678619,318.126312,307.643158,318.126312,318.126312,9641764965,0.003367,0.003395,0.00327,0.003392,0.003392,41001826,"2,917.40","2,945.80","2,946.50","2,916.00","7,884.72","8,005.27","8,007.31","7,879.15",547780000,"26,548.22","26,731.61","26,752.31","26,527.66",282160000,"1,418.70","1,423.40","1,442.90","1,415.10",57.83,57.74,58.84,57.2
6/26/2019,11778.58106,13796.48926,11755.59766,13016.23145,13016.23145,45105733173,317.992584,361.398682,315.954865,336.753174,336.753174,16437084081,0.003391,0.00345,0.003252,0.003379,0.003379,64528905,"2,913.80","2,926.10","2,932.60","2,913.00","7,909.97","7,933.93","7,974.28","7,903.07",537920000,"26,536.82","26,599.42","26,660.04","26,536.33",274340000,"1,415.40","1,427.20","1,427.90","1,405.00",59.38,58.84,59.93,58.65
6/27/2019,13017.125,13311.14453,10491.85254,11182.80664,11182.80664,39977475223,336.9599,343.433441,278.573242,294.267639,294.267639,14038092503,0.00339,0.003495,0.00299,0.003329,0.003329,76165577,"2,924.90","2,919.70","2,929.30","2,918.60","7,967.76","7,939.36","7,976.58","7,935.47",523930000,"26,526.58","26,523.72","26,607.24","26,465.32",246930000,"1,412.00","1,412.70","1,415.30","1,401.40",59.43,59.27,59.73,58.61
6/28/2019,11162.16797,12445.17481,10914.49512,12407.33203,12407.33203,35087757766,294.143036,313.031555,292.939819,311.226105,311.226105,11514656820,0.003332,0.003523,0.003315,0.00349,0.00349,65310778,"2,941.80","2,932.90","2,944.00","2,929.10","8,006.24","7,988.76","8,010.15","7,961.46",1760000000,"26,599.96","26,605.93","26,638.35","26,522.27",499350000,"1,413.70","1,413.30","1,427.80","1,408.60",58.47,59.22,59.8,57.75
