Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,S&P-Price,S&P-Open,S&P-High,S&P-Low,NASDAQ-Price,NASDAQ-Open,NASDAQ-High,NASDAQ-Low,DOW-Price,DOW-Open,DOW-High,DOW-Low,GOLD-Price,GOLD-Open,GOLD-High,GOLD-Low,OIL-Price,OIL-Open,OIL-High,OIL-Low,Month,Day,Year
2019-05-19,7267.962891,8261.941406,7267.962891,8197.689453,8197.689453,25902422040.0,234.449463,263.740997,233.758667,261.292206,261.292206,12049250894,0.003011,0.003195,0.003,0.003178,0.003178,63883932,2859.50,2858.60,2885.50,2854.20,7816.28,7829.03,7918.71,7810.35,25764.00,25719.95,25948.74,25657.78,1275.70,1287.20,1289.00,1274.60,62.76,63.12,63.64,62.52,5,19,2019
2019-05-20,8196.923828,8200.967773,7678.781738,7978.309082,7978.309082,23843404340.0,261.267487,261.55127,241.80365,251.86441,251.86441,10834541285,0.003179,0.003186,0.002933,0.003041,0.003041,56440462,2840.20,2841.90,2853.90,2831.30,7702.38,7714.06,7747.27,7678.35,25679.90,25655.31,25751.71,25560.55,1277.30,1277.60,1278.80,1273.30,63.1,62.93,63.81,62.45,5,20,2019
2019-05-21,7977.969238,8062.167969,7843.339844,7963.327637,7963.327637,25127245056.0,251.647842,262.107544,248.196304,255.215881,255.215881,11545049593,0.003042,0.003112,0.002968,0.003086,0.003086,54845691,2864.40,2854.00,2868.90,2854.00,7785.72,7765.57,7804.44,7752.92,25877.33,25782.34,25898.27,25779.61,1273.20,1277.70,1277.70,1269.00,62.99,63.22,63.6,62.75,5,21,2019
2019-05-22,7956.291992,7997.612305,7615.987305,7680.066406,7680.066406,24719473175.0,254.995316,258.801849,242.730484,244.698914,244.698914,9818257463,0.003082,0.003091,0.002912,0.002939,0.002939,60016531,2856.30,2856.10,2865.50,2851.10,7750.84,7749.81,7786.33,7738.35,25776.61,25818.46,25878.21,25755.11,1274.20,1274.40,1277.10,1272.00,61.42,62.95,63.0,61.03,5,22,2019
2019-05-23,7677.269043,7943.791504,7533.196777,7881.84668,7881.84668,24457107820.0,244.665115,247.616638,233.793091,245.965668,245.965668,10671663487,0.002937,0.00298,0.002795,0.002961,0.002961,55428477,2822.20,2836.70,2836.70,2805.50,7628.28,7660.72,7665.15,7585.32,25490.47,25657.99,25657.99,25328.09,1285.40,1273.60,1287.10,1272.10,57.91,61.31,61.41,57.33,5,23,2019
2019-05-24,7881.695313,8140.719727,7824.44873,7987.371582,7987.371582,25919126991.0,245.987091,255.259338,243.240097,249.484985,249.484985,9929433206,0.00296,0.003022,0.002932,0.002995,0.002995,61767497,2826.10,2832.40,2841.40,2820.20,7637.01,7675.57,7694.15,7631.25,25585.69,25551.07,25670.81,25496.20,1283.60,1283.20,1284.70,1280.10,58.63,58.21,59.1,57.5,5,24,2019
2019-05-25,7991.885254,8117.925781,7965.976074,8052.543945,8052.543945,22256813107.0,249.694046,257.356842,249.088791,251.759872,251.759872,8924985385,0.002996,0.003011,0.002958,0.002991,0.002991,58214409,2826.10,2832.40,2841.40,2820.20,7637.01,7675.57,7694.15,7631.25,25585.69,25551.07,25670.81,25496.20,1283.60,1283.20,1284.70,1280.10,58.63,58.21,59.1,57.5,5,25,2019
2019-05-26,8055.206055,8687.520508,7924.67041,8673.21582,8673.21582,26677970091.0,251.724792,269.166534,247.245392,267.069641,267.069641,9664267731,0.002987,0.003115,0.002935,0.003092,0.003092,68909916,2826.10,2832.40,2841.40,2820.20,7637.01,7675.57,7694.15,7631.25,25585.69,25551.07,25670.81,25496.20,1283.60,1283.20,1284.70,1280.10,58.77,58.94,59.0,58.67,5,26,2019
2019-05-27,8674.072266,8907.174805,8668.705078,8805.77832,8805.77832,27949839564.0,267.141876,278.507263,265.444702,272.86264,272.86264,12074664736,0.003099,0.003207,0.003086,0.003141,0.003141,76858482,2826.10,2832.40,2841.40,2820.20,7637.01,7675.57,7694.15,7631.25,25585.69,25551.07,25670.81,25496.20,1277.10,1283.50,1286.90,1275.10,59.16,58.77,59.26,58.14,5,27,2019
2019-05-28,8802.757813,8807.016602,8634.72168,8719.961914,8719.961914,24226919267.0,272.590485,274.320831,267.514374,271.768707,271.768707,10362846898,0.003142,0.003168,0.003071,0.003148,0.003148,67850692,2802.40,2830.00,2840.50,2801.60,7607.35,7655.66,7693.74,7603.76,25347.77,25616.55,25717.63,25342.28,1280.10,1287.20,1289.60,1278.50,59.14,58.94,59.57,58.13,5,28,2019
