Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,S&P-Price,S&P-Open,S&P-High,S&P-Low,NASDAQ-Price,NASDAQ-Open,NASDAQ-High,NASDAQ-Low,NASDAQ-Vol.,DOW-Price,DOW-Open,DOW-High,DOW-Low,DOW-Vol.,GOLD-Price,GOLD-Open,GOLD-High,GOLD-Low,OIL-Price,OIL-Open,OIL-High,OIL-Low,Month,Day,Year
2019-06-02,8565.473633,8809.303711,8561.235352,8742.958008,8742.958008,20266216022.0,265.512726,272.80722,265.04187,270.225525,270.225525,8744111713,0.003426,0.003448,0.003342,0.003398,0.003398,74315769,2752.1,2766.2,2769.0,2750.5,7453.15,7470.95,7506.86,7448.23,590430000.0,24815.04,25046.31,25046.31,24809.51,292230000.0,1311.1,1293.2,1311.9,1292.5,53.5,56.46,56.61,53.05,6,2,2019
2019-06-03,8741.74707,8743.5,8204.185547,8208.995117,8208.995117,22004511436.0,270.088562,270.334106,251.262192,252.607925,252.607925,9375712917,0.003397,0.00341,0.003194,0.003198,0.003198,76817043,2744.4,2751.5,2763.1,2728.8,7333.02,7441.22,7457.66,7292.22,658410000.0,24819.78,24830.16,24935.21,24680.57,328240000.0,1327.9,1312.5,1333.0,1310.9,53.25,53.42,54.63,52.11,6,3,2019
2019-06-04,8210.985352,8210.985352,7564.48877,7707.770996,7707.770996,24609731549.0,252.511642,252.511642,236.127213,241.338791,241.338791,10132549747,0.003213,0.003213,0.002986,0.003042,0.003042,77725735,2803.3,2762.6,2804.5,2762.6,7527.12,7413.94,7529.5,7385.02,619530000.0,25332.18,24962.82,25343.77,24962.82,281690000.0,1328.7,1329.7,1334.1,1324.7,53.48,52.89,53.78,52.43,6,4,2019
2019-06-05,7704.343262,7901.849121,7668.668457,7824.231445,7824.231445,21760923463.0,241.49704,248.138138,239.983459,247.05101,247.05101,8548917062,0.003039,0.003098,0.00298,0.00307,0.00307,72561329,2826.2,2818.1,2827.3,2800.9,7575.48,7585.68,7589.47,7498.17,537320000.0,25539.57,25451.0,25544.66,25373.58,262660000.0,1333.6,1330.2,1348.9,1329.3,51.68,52.86,53.41,50.6,6,5,2019
2019-06-06,7819.633301,7937.34082,7571.471191,7822.023438,7822.023438,19474611077.0,246.925247,249.944504,238.501114,249.474335,249.474335,8265146806,0.003072,0.003124,0.003005,0.003087,0.003087,71608123,2843.5,2828.5,2852.1,2822.4,7615.55,7582.24,7634.12,7546.22,542410000.0,25720.66,25567.45,25800.3,25518.05,248070000.0,1342.7,1336.1,1344.2,1331.3,52.59,51.66,53.3,51.17,6,6,2019
2019-06-07,7826.901367,8126.15332,7788.373535,8043.951172,8043.951172,19141423231.0,249.335281,254.352295,246.5979,250.930359,250.930359,8379534528,0.003088,0.003195,0.003059,0.00311,0.00311,71288069,2873.3,2852.9,2885.0,2852.9,7742.1,7652.97,7767.02,7647.91,516840000.0,25983.94,25768.72,26072.75,25768.72,263010000.0,1346.1,1339.7,1352.7,1334.3,53.99,53.1,54.32,52.62,6,7,2019
2019-06-08,8036.774902,8076.891113,7837.61084,7954.12793,7954.12793,16522722810.0,251.249313,252.377396,243.229111,245.738098,245.738098,7225996863,0.003115,0.003191,0.003017,0.003084,0.003084,69699426,2873.3,2852.9,2885.0,2852.9,7742.1,7652.97,7767.02,7647.91,516840000.0,25983.94,25768.72,26072.75,25768.72,263010000.0,1346.1,1339.7,1352.7,1334.3,53.99,53.1,54.32,52.62,6,8,2019
2019-06-09,7949.674805,7975.974121,7583.219727,7688.077148,7688.077148,16610726547.0,245.540482,245.972824,229.257431,233.0867,233.0867,7566421456,0.003077,0.003218,0.002978,0.003012,0.003012,69438950,2873.3,2852.9,2885.0,2852.9,7742.1,7652.97,7767.02,7647.91,516840000.0,25983.94,25768.72,26072.75,25768.72,263010000.0,1346.1,1339.7,1352.7,1334.3,53.99,53.1,54.32,52.62,6,9,2019
2019-06-10,7692.284668,8031.909668,7586.730957,8000.32959,8000.32959,18689275117.0,232.830139,247.66217,229.341766,247.520126,247.520126,8141159848,0.003014,0.003135,0.002992,0.003091,0.003091,69822843,2886.7,2885.8,2904.8,2885.5,7823.17,7798.87,7895.44,7795.76,522200000.0,26062.68,26090.22,26210.61,26054.31,249280000.0,1329.3,1341.2,1341.7,1329.0,53.26,54.24,54.84,53.05,6,10,2019
2019-06-11,8004.243652,8026.394043,7772.803711,7927.714355,7927.714355,17107279932.0,247.862122,248.662582,239.825348,245.78183,245.78183,7382269700,0.00309,0.003143,0.002998,0.003058,0.003058,65070888,2885.7,2903.3,2910.6,2878.5,7822.57,7901.04,7909.99,7798.63,534580000.0,26048.51,26180.59,26248.67,25998.87,253490000.0,1331.2,1331.8,1333.8,1323.6,53.27,53.43,54.04,52.91,6,11,2019
